Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,"Chalet Apartments 300 Edwards Street Roslyn, NY",300 Edwards Street,Roslyn,NY,11577,E,Public,24 hours daily,,0,2,0,FLO,GPS,40.794166,-73.647669,2024-10-29,222433,2024-10-29,,,,2022-07-01,J1772
ELEC,GARDEN CHARGERS JOVIA ASD 1,1000 Corporate Dr,Westbury,NY,11590,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.740059,-73.601087,2024-10-29,174507,2024-10-29,,,,2021-01-27,J1772
ELEC,VASSAR COLLEGE STATION 2,165 College Avenue,Arlington,NY,12603,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.690392,-73.901383,2024-10-29,352057,2024-10-29,,,,2024-08-03,J1772
ELEC,ALBANY COUNTY STATION,71 Voorheesville Ave,Voorheesville,NY,12186,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.654156,-73.924676,2024-10-29,221607,2024-10-29,,,,2022-06-22,J1772
ELEC,Somers Commons Shopping Center,80 Route 6,Baldwin Place,NY,10505,E,Public,24 hours daily,,0,0,1,eVgo Network,GPS,41.344875,-73.756256,2024-10-28,228614,2024-10-28,,,,2018-03-07,CHADEMO J1772COMBO
ELEC,Greymoor Way - Building 4,1501 Greymoor Way,Baldwinsville,NY,13027,E,Public,24 hours daily,,0,2,0,LIVINGSTON,GPS,43.18224,-76.29906,2024-10-29,223121,2024-10-29,,,,2021-10-28,J1772
ELEC,STOHL STOHL5,3860 California Rd,Orchard Park,NY,14127,E,Public,24 hours daily,,0,1,0,ChargePoint Network,GPS,42.779479,-78.781172,2024-10-29,180669,2024-10-29,,,,2021-01-27,J1772
ELEC,SUNY BUFFALO JACOBS 6,50 Augspurger Rd,Buffalo,NY,14228,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.998857,-78.787152,2024-10-29,182259,2024-10-29,,,,2021-01-27,J1772
ELEC,BORO PARK BORO CHARGE 3,4915 10th Ave,Borough Park,NY,11219,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.63851,-73.998605,2024-10-29,206917,2024-10-29,,,,2022-02-23,J1772
ELEC,Hopewell Gardens Apartments,228 NY-376,East Fishkill,NY,12533,E,Public,24 hours daily,,0,8,0,LIVINGSTON,GPS,41.56955,-73.80098,2024-10-29,324826,2024-10-29,,,,2023-10-26,J1772
ELEC,1285 MAIN 1285 MAIN (1),1285 Main St,Buffalo,NY,14209,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.908237,-78.866359,2024-10-29,154372,2024-10-29,,,,2020-03-07,J1772
ELEC,GHMC PARKINGGARAGE9,707 E Main St,Middletown,NY,10940,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.441876,-74.366663,2024-10-29,204669,2024-10-29,,,,2022-01-12,J1772
ELEC,STOHL STOHL6,3860 California Rd,Orchard Park,NY,14127,E,Public,24 hours daily,,0,1,0,ChargePoint Network,GPS,42.779497,-78.781127,2024-10-29,163646,2024-10-29,,,,2020-06-26,J1772
ELEC,City of Plattsburgh - City Hall,41 City Hall Pl,Plattsburgh,NY,12901,E,Public,24 hours daily,,0,2,0,ChargePoint Network,200-9,44.69926,-73.452022,2023-03-08,143788,2024-01-31,LG,,,2019-08-08,J1772
ELEC,Fairwood Management,0 Hilltop Drive,Ellicottville,NY,14731,E,Public,24 hours daily,,0,4,0,Blink Network,GPS,42.271347,-78.694477,2024-10-29,330997,2024-10-29,,,,2023-04-20,J1772
ELEC,The Lofts at Saratoga - Bldg 24,18 Lofts Way,Malta,NY,12020,E,Public,24 hours daily,,0,2,0,CHARGESMART_EV,GPS,42.96861,-73.794496,2024-10-29,333828,2024-10-29,,,,2023-04-03,J1772
ELEC,South Shore Nissan,200 Sunrise Hwy,Amityville,NY,11701,E,Public - Call ahead,Dealership business hours,,0,1,1,Non-Networked,GPS,40.68709,-73.414865,2024-02-12,149477,2024-02-12,P,,,2019-05-01,CHADEMO J1772
ELEC,EXIT 14 P&R EXIT 14 P&R,"Exit 14 Park & Ride, Rt 59W Bus Shelter",Nanuet,NY,10954,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.103294,-74.029091,2024-10-29,232955,2024-10-29,,,,2022-10-06,J1772
ELEC,New Paltz Plaza Shopping Mall - Tesla Supercharger,271  Main Street Plaza Diner,New Paltz,NY,12561,E,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,0,0,8,Tesla,GPS,41.743818,-74.070079,2024-07-01,196518,2024-08-14,P,,,2021-09-25,TESLA
ELEC,Inn at Lake Joseph,162 St Josephs Hill Rd,Forestburgh,NY,12777,E,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,0,4,0,AMPUP,200-8,41.587359,-74.725595,2022-10-11,229917,2023-02-14,P,,,2022-09-15,J1772
ELEC,SLM SLM APARTMENT E,165 Lake St,Perry,NY,14530,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.718421,-78.014147,2024-10-29,310603,2024-10-29,,,,2023-09-14,J1772
ELEC,BURNS MGT EXCELSIOR 5,25 Whistler Ct,Saratoga Springs,NY,12866,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.09428,-73.753449,2024-10-29,120972,2024-10-29,,,,2019-03-27,J1772
