id,station_name,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude
166207,Walmart 2586 Cheektowaga,Cheektowaga,NY,0,0,4,42.9096,-78.7447
346483,AMPHENOL 191 4060 STATION 1,Sidney,NY,0,2,0,42.306106,-75.40044
180143,MUNICIPAL EVSE PARK STREET 3,Glens Falls,NY,0,2,0,43.307923,-73.64459
192676,DELAWARE CHARGE DELAWARE APL 1,Albany,NY,0,2,0,42.643265,-73.778321
357099,79 Hazel St - Parking Lot,Great Neck,NY,0,2,0,40.854406,-73.620771
356980,265 E 66th St - Garage,New York,NY,0,12,0,40.76536,-73.96128
223100,Rapid Park - 44 State St,Brooklyn,NY,0,6,0,40.6918,-73.99829
333978,Airway Inn at LaGuardia,Queens,NY,0,3,0,40.76447,-73.8863
182108,OLYMPIC SPORTS SPORTS 1,Lake Placid,NY,0,2,0,44.220339,-73.923783
332173,Capitaland GMC,Glenville,NY,0,0,1,42.852956,-73.942404
319910,HOMEWOODSUITES HWS2,Carle Place,NY,0,2,0,40.748985,-73.619094
203017,OMG EV CHARGER EVCHARGER1,Cooperstown,NY,0,2,0,42.626186,-74.945045
356951,2 Enterprise - Parking Lot,Riverhead,NY,0,2,0,40.913309,-72.652212
224230,GENESEO W PARK CENTER,Geneseo,NY,0,2,0,42.79696,-77.78532
212983,STPETERHOSPITAL EV STATION #5,Albany,NY,0,2,0,42.654722,-73.80252
260861,MONROE COUNTY STADIUM S1,Rochester,NY,0,2,0,43.157273,-77.621689
262445,CITY OF ALBANY RIDGEFIELD PARK,Albany,NY,0,2,0,42.659753,-73.786848
356926,Silver Thread Winery - Barn parking,Lodi,NY,0,4,0,42.563258,-76.874641
115060,GGMC Yorkville Car Park - Tesla Destination,New York,NY,0,3,0,40.782212,-73.95023
346110,Acura Showroom of Valley Stream (Sunrise),Lynbrook,NY,0,2,0,40.65657,-73.68687
334434,TDC Building 2,Plattsburgh,NY,0,4,0,44.69138,-73.51267
149626,HARMONY MILLS 1 WEST 2 2.4,Cohoes,NY,0,2,0,42.778393,-73.70271
115037,Standard Parking 20 W 13th Street - Tesla Destination,New York,NY,0,3,0,40.735706,-73.995058
154659,Holiday Inn Express & Suites,Saugerties,NY,0,4,0,42.087231,-73.974723
240977,MAPLEWOODCC CHARGER LEFT 1,Webster,NY,0,2,0,43.213523,-77.433142
334008,Vision CDJR,Rochester,NY,0,0,4,43.125632,-77.490481
228338,Hannaford Markets - Wynantskill,Wynantskill,NY,0,0,1,42.6975,-73.648487
352701,178 Route 23B - Columbia County,Hudson,NY,0,6,0,42.24077,-73.76355
